"proxy:port","proxy","port"
"45.116.156.165:8080","45.116.156.165","8080"
"98.100.194.171:8080","98.100.194.171","8080"
"45.117.64.3:8080","45.117.64.3","8080"
"101.109.215.107:8080","101.109.215.107","8080"
"103.76.149.34:8080","103.76.149.34","8080"
"45.4.43.249:8080","45.4.43.249","8080"
"115.127.23.188:8080","115.127.23.188","8080"
"118.175.157.107:8080","118.175.157.107","8080"
"14.98.108.34:8080","14.98.108.34","8080"
"139.228.50.35:8080","139.228.50.35","8080"
"45.116.158.109:8080","45.116.158.109","8080"
"172.105.115.217:8080","172.105.115.217","8080"
"191.102.76.170:8080","191.102.76.170","8080"
"190.121.158.122:8080","190.121.158.122","8080"
"177.220.188.139:8080","177.220.188.139","8080"
"181.48.197.5:8080","181.48.197.5","8080"
"191.102.73.35:8080","191.102.73.35","8080"
"190.248.153.162:8080","190.248.153.162","8080"
"201.219.213.228:8080","201.219.213.228","8080"
"190.248.158.194:8080","190.248.158.194","8080"
"46.209.231.35:8080","46.209.231.35","8080"
"200.112.210.106:8080","200.112.210.106","8080"
"201.184.233.179:8080","201.184.233.179","8080"
"185.211.160.113:8080","185.211.160.113","8080"
"51.255.198.111:8080","51.255.198.111","8080"
